6414,org.jfree.chart.title.LegendTitle,getLegendItemGraphicAnchor
1604,org.jfree.chart.util.ParamChecks,nullNotPermitted
5478874,org.jfree.chart.title.LegendGraphic,setShapeAnchor
5452,org.jfree.chart.title.LegendTitle,getLegendItemGraphicLocation
1925,org.jfree.chart.util.ParamChecks,nullNotPermitted
5625773,org.jfree.chart.title.LegendGraphic,setShapeLocation
9943,org.jfree.chart.block.BorderArrangement,add
4870431,org.jfree.chart.block.BlockContainer,add
9943,org.jfree.chart.LegendItem,getLabelFont
7056,org.jfree.chart.LegendItem,getLabelPaint
7056,org.jfree.chart.LegendItem,getLabel
4170,org.jfree.chart.util.ParamChecks,nullNotPermitted
4811,org.jfree.chart.util.ParamChecks,nullNotPermitted
1924,org.jfree.chart.util.ParamChecks,nullNotPermitted
1283,org.jfree.chart.util.ParamChecks,nullNotPermitted
14754,org.jfree.chart.util.ParamChecks,nullNotPermitted
1283,org.jfree.chart.util.ParamChecks,nullNotPermitted
1603,org.jfree.chart.util.ParamChecks,nullNotPermitted
8339,org.jfree.chart.text.TextBlock,addLine
4969539,org.jfree.chart.text.TextBlock,addLine
10282911,org.jfree.chart.text.TextUtilities,createTextBlock
3848,org.jfree.chart.util.ParamChecks,nullNotPermitted
11494665,org.jfree.chart.block.AbstractBlock,setPadding
4170,org.jfree.chart.block.BorderArrangement,add
5316579,org.jfree.chart.block.BlockContainer,add
11199264,org.jfree.chart.block.BlockContainer,add
6415,org.jfree.chart.LegendItem,getToolTipText
7698,org.jfree.chart.title.LegendItemBlockContainer,setToolTipText
5452,org.jfree.chart.LegendItem,getURLText
7057,org.jfree.chart.title.LegendItemBlockContainer,setURLText
2245,org.jfree.chart.block.CenterArrangement,add
4704608,org.jfree.chart.block.BlockContainer,add
10220687,org.jfree.chart.block.BlockContainer,add
15066101,org.jfree.chart.title.LegendTitle,createLegendItemBlock
7377,org.jfree.chart.block.FlowArrangement,add
5479835,org.jfree.chart.block.BlockContainer,add
10597236,org.jfree.chart.block.BlockContainer,add
15596603,org.jfree.chart.title.LegendTitle,addItemBlock
21045969,org.jfree.chart.title.LegendTitle,fetchLegendItems
8660,org.jfree.chart.block.BlockContainer,isEmpty
1283,org.jfree.chart.util.ParamChecks,nullNotPermitted
8339,org.jfree.chart.block.RectangleConstraint,getWidth
4490,org.jfree.chart.block.RectangleConstraint,getWidthRange
6094,org.jfree.chart.block.RectangleConstraint,getHeight
6415,org.jfree.chart.block.RectangleConstraint,getHeightRange
