Class,LOC
IntervalBarRenderer.java,282
ZoomHandler.java,281
BubbleXYItemLabelGenerator.java,281
DefaultChartEditor.java,280
CategoryLabelPosition.java,280
ChartTransferable.java,279
PiePlotState.java,279
ImageMapUtilities.java,278
DialBackground.java,277
MarkerAxisBand.java,274
XYZSeriesCollection.java,273
IntervalXYItemLabelGenerator.java,273
HistogramBin.java,271
PieDatasetSelectionExtension.java,271
TimeSeriesTableModel.java,270
RendererUtilities.java,270
PieSectionEntity.java,270
AbstractObjectList.java,269
LogFormat.java,268
ZoomHandlerFX.java,266
TextLine.java,265
PolarChartPanel.java,265
IntervalXYToolTipGenerator.java,264
XYDrawableAnnotation.java,263
StandardXYZToolTipGenerator.java,263
ExtendedCategoryAxis.java,262
XYDataItem.java,261
Task.java,259
XYDatasetTableModel.java,258
ChartRenderingInfo.java,258
StandardPieSectionLabelGenerator.java,257
MonthDateFormat.java,253
CompositeTitle.java,253
ExportUtils.java,250
JDBCPieDataset.java,250
AbstractPieItemLabelGenerator.java,250
CategoryItemEntity.java,247
BlockBorder.java,247
IRSUtilities.java,244
ShortTextTitle.java,243
SelectionDemo1.java,243
GrayPaintScale.java,242
LineBorder.java,242
BoxAndWhiskerCategoryDataset.java,240
MultipleXYSeriesLabelGenerator.java,240
HighLowItemLabelGenerator.java,240
MatrixSeries.java,239
NumberTickUnitSource.java,238
IntervalMarker.java,236
SelectionDemo3.java,235
FreePathSelectionHandler.java,233
BoxAndWhiskerCalculator.java,232
BorderPainter.java,232
FontChooserPanel.java,232
AbstractDataset.java,231
RegionSelectionHandler.java,231
SelectionDemo5Category.java,230
CategoryItemRendererState.java,228
MeterInterval.java,228
StandardBarPainter.java,227
SimpleTimePeriod.java,226
StandardXYBarPainter.java,226
PolarItemRenderer.java,226
AbstractAnnotation.java,225
SelectionDemo2.java,225
PieLabelDistributor.java,224
TimeSeriesURLGenerator.java,224
AbstractMouseHandlerFX.java,222
RectangularRegionSelectionHandler.java,222
PaintMap.java,221
CustomPieURLGenerator.java,220
AbstractDialLayer.java,220
GradientPainter.java,220
TimeSeriesDataItem.java,220
StandardXYItemLabelGenerator.java,218
StandardEntityCollection.java,216
AxisEntity.java,216
JFreeChartEntity.java,216
StrokeMap.java,216
SelectionDemo4.java,216
PlotEntity.java,216
TitleEntity.java,216
TickUnits.java,215
TimeSeriesChartDemo1.java,215
LegendItemBlockContainer.java,215
Outlier.java,213
OHLCDataItem.java,212
ChartViewerSkin.java,212
AbstractXYAnnotation.java,212
CustomXYURLGenerator.java,212
QuarterDateFormat.java,210
WindItemRenderer.java,209
TextAnchor.java,206
CustomXYToolTipGenerator.java,203
DefaultPolarPlotEditor.java,202
CSV.java,201
CustomCategoryURLGenerator.java,201
TaskSeries.java,201
StandardXYToolTipGenerator.java,200
DefaultKeyedValueDataset.java,199
XYItemEntity.java,199
StandardCategoryURLGenerator.java,199
XYItemRendererState.java,198
TickUnit.java,197
ItemLabelPosition.java,196
TimePeriodValue.java,196
CircularRegionSelectionHandler.java,196
RectangleAnchor.java,194
AxisState.java,194
XYIntervalSeries.java,193
LegendItemEntity.java,193
StandardGradientPaintTransformer.java,192
ColorBlock.java,192
LongNeedle.java,191
EncoderUtil.java,190
SelectionDemo6Pie.java,190
SelectionDemo7ScatterRenderer.java,190
ChartColor.java,189
FreeRegionSelectionHandler.java,187
CategoryMarker.java,187
ArrowNeedle.java,185
Tick.java,185
SunJPEGEncoderAdapter.java,183
DefaultKeyedValue.java,183
OutlierListCollection.java,183
StandardPieURLGenerator.java,183
XYZSeries.java,183
GanttCategoryDataset.java,182
OutlierList.java,182
MeanAndStandardDeviation.java,181
CategoryCrosshairState.java,181
SymbolicXYItemLabelGenerator.java,181
StandardXYURLGenerator.java,181
StrokeSample.java,180
BoxAndWhiskerXYDataset.java,180
Zoomable.java,180
AbstractMouseHandler.java,179
ShapeList.java,179
DefaultNumberAxisEditor.java,179
ComparableObjectItem.java,177
StandardXYSeriesLabelGenerator.java,177
StrokeList.java,177
ObjectUtils.java,176
XYCoordinate.java,176
KeyedValueComparator.java,176
DateTitle.java,173
VectorSeries.java,173
Size2D.java,172
DateRange.java,172
PieChartFXDemo1.java,171
AbstractDatasetSelectionExtension.java,171
PanHandlerFX.java,171
StandardCategorySeriesLabelGenerator.java,170
ArrayUtils.java,170
ItemHandler.java,170
ResourceBundleWrapper.java,170
LineUtils.java,169
BoxAndWhiskerXYToolTipGenerator.java,169
StandardPieToolTipGenerator.java,168
NumberTickUnit.java,168
PanHandler.java,167
