ExecutionTime,Class
1148598.26,org.jfree.chart.axis.NumberTickUnitSource
1123908.42,org.jfree.chart.ui.RectangleInsets
1103750.94,org.jfree.chart.axis.ValueAxis
1046835.77,org.jfree.chart.plot.PlotRenderingInfo
937774.00,org.jfree.chart.date.SerialDate
859918.19,org.jfree.chart.util.ResourceBundleWrapper
678934.79,org.jfree.data.xy.XYDataItem
583175.20,org.jfree.chart.drawable.ColorPainter
526073.28,org.jfree.data.general.Series
463597.89,org.jfree.data.DefaultKeyedValues
439216.40,org.jfree.chart.axis.DateTickUnit
415924.70,org.jfree.chart.axis.NumberTickUnit
280483.02,org.jfree.chart.util.AbstractObjectList
170444.52,org.jfree.chart.date.SpreadsheetDate
133191.88,org.jfree.chart.axis.CategoryLabelPositions
95863.30,org.jfree.chart.LegendItem
68366.95,org.jfree.data.Range
40734.00,org.jfree.chart.plot.SeriesRenderingOrder
40349.10,org.jfree.chart.util.AttributedStringUtils
33424.16,org.jfree.chart.ChartColor
13952.50,org.jfree.chart.util.UnitType
12189.00,org.jfree.chart.ui.HorizontalAlignment
12188.00,org.jfree.chart.plot.DatasetRenderingOrder
12188.00,org.jfree.chart.axis.DateTickMarkPosition
12187.67,org.jfree.chart.util.HashUtils
11547.00,org.jfree.chart.text.TextBlockAnchor
11547.00,org.jfree.chart.ui.GradientPaintTransformType
11546.00,org.jfree.chart.labels.ItemLabelAnchor
11227.00,org.jfree.data.RangeType
10263.00,org.jfree.chart.axis.CategoryAnchor
9943.00,org.jfree.chart.ui.VerticalAlignment
9943.00,org.jfree.chart.axis.AxisLocation
9420.79,org.jfree.chart.axis.AxisSpace
9302.00,org.jfree.chart.axis.CategoryLabelWidthType
9141.00,org.jfree.chart.plot.PieLabelLinkStyle
8981.00,org.jfree.chart.plot.PlotOrientation
8981.00,org.jfree.data.time.TimePeriodAnchor
8660.00,org.jfree.chart.util.SortOrder
5684.88,org.jfree.chart.drawable.BorderPainter
5239.00,org.jfree.chart.axis.AxisLabelLocation
4997.88,org.jfree.chart.util.PaintUtils
4891.50,org.jfree.chart.labels.ItemLabelPosition
4554.40,org.jfree.chart.block.BlockResult
4490.00,org.jfree.chart.AreaChartTest$LocalListener
4010.00,org.jfree.chart.BarChartTest$LocalListener
3688.50,org.jfree.chart.XYAreaChartTest$LocalListener
3528.00,org.jfree.chart.ScatterPlotTest$LocalListener
3454.00,org.jfree.chart.renderer.xy.StandardXYBarPainter
3368.00,org.jfree.chart.XYStepAreaChartTest$LocalListener
3314.50,org.jfree.chart.block.ColumnArrangement
3207.50,org.jfree.chart.XYLineChartTest$LocalListener
3206.50,org.jfree.chart.StackedBarChartTest$LocalListener
3047.00,org.jfree.chart.StackedAreaChartTest$LocalListener
3047.00,org.jfree.chart.XYStepChartTest$LocalListener
3046.50,org.jfree.chart.XYBarChartTest$LocalListener
2993.33,org.jfree.chart.util.Rotation
2919.00,org.jfree.chart.renderer.xy.GradientXYBarPainter
2887.00,org.jfree.chart.PieChart3DTest$LocalListener
2806.50,org.jfree.chart.renderer.category.GradientBarPainter
2726.50,org.jfree.chart.GanttChartTest$LocalListener
2726.00,org.jfree.chart.PieChartTest$LocalListener
2726.00,org.jfree.chart.TimeSeriesChartTest$LocalListener
2566.00,org.jfree.chart.ui.StandardGradientPaintTransformer
2565.50,org.jfree.data.general.DefaultValueDataset
2512.47,org.jfree.chart.plot.AbstractPieLabelDistributor
2336.93,org.jfree.chart.plot.MeterInterval
2092.20,org.jfree.chart.block.RectangleConstraint
2007.14,org.jfree.data.time.SimpleTimePeriod
1958.00,org.jfree.chart.block.BlockParams
1943.25,org.jfree.chart.ui.TextAnchor
1902.09,org.jfree.chart.plot.PiePlotState
1834.96,org.jfree.chart.axis.Tick
1784.51,org.jfree.data.xy.DefaultXYDataset
1770.48,org.jfree.chart.ui.RectangleEdge
1673.17,org.jfree.chart.axis.AxisState
1443.36,org.jfree.chart.panel.AbstractMouseHandler
1431.46,org.jfree.chart.plot.PieLabelRecord
1351.60,org.jfree.chart.ui.Size2D
