5452,org.jfree.chart.title.LegendTitle,getLegendItemGraphicAnchor
1604,org.jfree.chart.util.ParamChecks,nullNotPermitted
4905392,org.jfree.chart.title.LegendGraphic,setShapeAnchor
5452,org.jfree.chart.title.LegendTitle,getLegendItemGraphicLocation
2245,org.jfree.chart.util.ParamChecks,nullNotPermitted
5158776,org.jfree.chart.title.LegendGraphic,setShapeLocation
9301,org.jfree.chart.block.BorderArrangement,add
6103354,org.jfree.chart.block.BlockContainer,add
17641,org.jfree.chart.LegendItem,getLabelFont
8980,org.jfree.chart.LegendItem,getLabelPaint
3848,org.jfree.chart.LegendItem,getLabel
1603,org.jfree.chart.util.ParamChecks,nullNotPermitted
2245,org.jfree.chart.util.ParamChecks,nullNotPermitted
1604,org.jfree.chart.util.ParamChecks,nullNotPermitted
1924,org.jfree.chart.util.ParamChecks,nullNotPermitted
9943,org.jfree.chart.util.ParamChecks,nullNotPermitted
1925,org.jfree.chart.util.ParamChecks,nullNotPermitted
1925,org.jfree.chart.util.ParamChecks,nullNotPermitted
8660,org.jfree.chart.text.TextBlock,addLine
3982944,org.jfree.chart.text.TextBlock,addLine
8094505,org.jfree.chart.text.TextUtilities,createTextBlock
1603,org.jfree.chart.util.ParamChecks,nullNotPermitted
4599406,org.jfree.chart.block.AbstractBlock,setPadding
7056,org.jfree.chart.block.BorderArrangement,add
5172567,org.jfree.chart.block.BlockContainer,add
9364634,org.jfree.chart.block.BlockContainer,add
4490,org.jfree.chart.LegendItem,getToolTipText
5453,org.jfree.chart.title.LegendItemBlockContainer,setToolTipText
4811,org.jfree.chart.LegendItem,getURLText
6735,org.jfree.chart.title.LegendItemBlockContainer,setURLText
3848,org.jfree.chart.block.CenterArrangement,add
4725135,org.jfree.chart.block.BlockContainer,add
9144285,org.jfree.chart.block.BlockContainer,add
13437706,org.jfree.chart.title.LegendTitle,createLegendItemBlock
8660,org.jfree.chart.block.FlowArrangement,add
4199765,org.jfree.chart.block.BlockContainer,add
8552842,org.jfree.chart.block.BlockContainer,add
12936391,org.jfree.chart.title.LegendTitle,addItemBlock
17672111,org.jfree.chart.title.LegendTitle,fetchLegendItems
12829,org.jfree.chart.block.BlockContainer,isEmpty
1283,org.jfree.chart.util.ParamChecks,nullNotPermitted
5452,org.jfree.chart.block.RectangleConstraint,getWidth
4811,org.jfree.chart.block.RectangleConstraint,getWidthRange
4490,org.jfree.chart.block.RectangleConstraint,getHeight
4811,org.jfree.chart.block.RectangleConstraint,getHeightRange
2245,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
2887,org.jfree.chart.ui.RectangleInsets,calculateRightInset
5059026,org.jfree.chart.ui.RectangleInsets,trimWidth
6736,org.jfree.chart.block.BlockBorder,getInsets
1604,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
3208,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4518901,org.jfree.chart.ui.RectangleInsets,trimWidth
1603,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
2245,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4608066,org.jfree.chart.ui.RectangleInsets,trimWidth
9157757,org.jfree.chart.block.AbstractBlock,trimToContentWidth
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
2246,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4531410,org.jfree.chart.ui.RectangleInsets,trimHeight
1925,org.jfree.chart.block.BlockBorder,getInsets
1603,org.jfree.chart.ui.RectangleInsets,calculateTopInset
3207,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5320428,org.jfree.chart.ui.RectangleInsets,trimHeight
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
3207,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5033366,org.jfree.chart.ui.RectangleInsets,trimHeight
9629244,org.jfree.chart.block.AbstractBlock,trimToContentHeight
3529,org.jfree.data.Range,getLowerBound
4491,org.jfree.data.Range,getUpperBound
962,org.jfree.data.Range,getUpperBound
2245,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1924,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4321004,org.jfree.chart.ui.RectangleInsets,trimWidth
1283,org.jfree.chart.block.BlockBorder,getInsets
1603,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
16358,org.jfree.chart.ui.RectangleInsets,calculateRightInset
5479195,org.jfree.chart.ui.RectangleInsets,trimWidth
1283,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1603,org.jfree.chart.ui.RectangleInsets,calculateRightInset
5101684,org.jfree.chart.ui.RectangleInsets,trimWidth
9817518,org.jfree.chart.block.AbstractBlock,trimToContentWidth
14981105,org.jfree.chart.block.AbstractBlock,trimToContentWidth
962,org.jfree.data.Range,getLowerBound
962,org.jfree.data.Range,getUpperBound
1283,org.jfree.data.Range,getUpperBound
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1924,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4547767,org.jfree.chart.ui.RectangleInsets,trimHeight
1282,org.jfree.chart.block.BlockBorder,getInsets
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
